Alternative,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAgg,FineAgg,AgeDays
alt1,540,0,0,162,2.5,1040,676,28
alt2,540,0,0,162,2.5,1055,676,28
alt3,332.5,142.5,0,228,0,932,594,270
alt4,332.5,142.5,0,228,0,932,594,365
alt5,198.6,132.4,0,192,0,978.4,825.5,360
alt6,266,114,0,228,0,932,670,90
alt7,380,95,0,228,0,932,594,365
alt8,380,95,0,228,0,932,594,28
alt9,266,114,0,228,0,932,670,28
alt10,475,0,0,228,0,932,594,28
alt11,198.6,132.4,0,192,0,978.4,825.5,90
alt12,198.6,132.4,0,192,0,978.4,825.5,28
alt13,427.5,47.5,0,228,0,932,594,270
alt14,190,190,0,228,0,932,670,90
alt15,304,76,0,228,0,932,670,28
alt16,380,0,0,228,0,932,670,90
alt17,139.6,209.4,0,192,0,1047,806.9,90
alt18,342,38,0,228,0,932,670,365
alt19,380,95,0,228,0,932,594,90
alt20,475,0,0,228,0,932,594,180
alt21,427.5,47.5,0,228,0,932,594,180
alt22,139.6,209.4,0,192,0,1047,806.9,28
alt23,139.6,209.4,0,192,0,1047,806.9,3
alt24,139.6,209.4,0,192,0,1047,806.9,180
alt25,380,0,0,228,0,932,670,365
alt26,380,0,0,228,0,932,670,270
alt27,380,95,0,228,0,932,594,270
alt28,342,38,0,228,0,932,670,180
alt29,427.5,47.5,0,228,0,932,594,28
alt30,475,0,0,228,0,932,594,7
alt31,304,76,0,228,0,932,670,365
alt32,266,114,0,228,0,932,670,365
alt33,198.6,132.4,0,192,0,978.4,825.5,180
alt34,475,0,0,228,0,932,594,270
alt35,190,190,0,228,0,932,670,365
alt36,237.5,237.5,0,228,0,932,594,270
alt37,237.5,237.5,0,228,0,932,594,28
alt38,332.5,142.5,0,228,0,932,594,90
alt39,475,0,0,228,0,932,594,90
alt40,237.5,237.5,0,228,0,932,594,180
alt41,342,38,0,228,0,932,670,90
alt42,427.5,47.5,0,228,0,932,594,365
alt43,237.5,237.5,0,228,0,932,594,365
alt44,380,0,0,228,0,932,670,180
alt45,427.5,47.5,0,228,0,932,594,90
alt46,427.5,47.5,0,228,0,932,594,7
alt47,349,0,0,192,0,1047,806.9,3
alt48,380,95,0,228,0,932,594,180
alt49,237.5,237.5,0,228,0,932,594,7
alt50,380,95,0,228,0,932,594,7
alt51,332.5,142.5,0,228,0,932,594,180
alt52,190,190,0,228,0,932,670,180
alt53,237.5,237.5,0,228,0,932,594,90
alt54,304,76,0,228,0,932,670,90
alt55,139.6,209.4,0,192,0,1047,806.9,7
alt56,198.6,132.4,0,192,0,978.4,825.5,7
alt57,475,0,0,228,0,932,594,365
alt58,198.6,132.4,0,192,0,978.4,825.5,3
alt59,304,76,0,228,0,932,670,180
alt60,332.5,142.5,0,228,0,932,594,28
alt61,304,76,0,228,0,932,670,270
alt62,266,114,0,228,0,932,670,270
alt63,310,0,0,192,0,971,850.6,3
alt64,190,190,0,228,0,932,670,270
alt65,266,114,0,228,0,932,670,180
alt66,342,38,0,228,0,932,670,270
alt67,139.6,209.4,0,192,0,1047,806.9,360
alt68,332.5,142.5,0,228,0,932,594,7
alt69,190,190,0,228,0,932,670,28
alt70,485,0,0,146,0,1120,800,28
alt71,374,189.2,0,170.1,10.1,926.1,756.7,3
alt72,313.3,262.2,0,175.5,8.6,1046.9,611.8,3
alt73,425,106.3,0,153.5,16.5,852.1,887.1,3
alt74,425,106.3,0,151.4,18.6,936,803.7,3
alt75,375,93.8,0,126.6,23.4,852.1,992.6,3
alt76,475,118.8,0,181.1,8.9,852.1,781.5,3
alt77,469,117.2,0,137.8,32.2,852.1,840.5,3
alt78,425,106.3,0,153.5,16.5,852.1,887.1,3
alt79,388.6,97.1,0,157.9,12.1,852.1,925.7,3
alt80,531.3,0,0,141.8,28.2,852.1,893.7,3
alt81,425,106.3,0,153.5,16.5,852.1,887.1,3
alt82,318.8,212.5,0,155.7,14.3,852.1,880.4,3
alt83,401.8,94.7,0,147.4,11.4,946.8,852.1,3
alt84,362.6,189,0,164.9,11.6,944.7,755.8,3
alt85,323.7,282.8,0,183.8,10.3,942.7,659.9,3
alt86,379.5,151.2,0,153.9,15.9,1134.3,605,3
alt87,362.6,189,0,164.9,11.6,944.7,755.8,3
alt88,286.3,200.9,0,144.7,11.2,1004.6,803.7,3
alt89,362.6,189,0,164.9,11.6,944.7,755.8,3
alt90,439,177,0,186,11.1,884.9,707.9,3
alt91,389.9,189,0,145.9,22,944.7,755.8,3
alt92,362.6,189,0,164.9,11.6,944.7,755.8,3
alt93,337.9,189,0,174.9,9.5,944.7,755.8,3
alt94,374,189.2,0,170.1,10.1,926.1,756.7,7
alt95,313.3,262.2,0,175.5,8.6,1046.9,611.8,7
alt96,425,106.3,0,153.5,16.5,852.1,887.1,7
alt97,425,106.3,0,151.4,18.6,936,803.7,7
alt98,375,93.8,0,126.6,23.4,852.1,992.6,7
alt99,475,118.8,0,181.1,8.9,852.1,781.5,7
alt100,469,117.2,0,137.8,32.2,852.1,840.5,7
alt101,425,106.3,0,153.5,16.5,852.1,887.1,7
alt102,388.6,97.1,0,157.9,12.1,852.1,925.7,7
alt103,531.3,0,0,141.8,28.2,852.1,893.7,7
alt104,425,106.3,0,153.5,16.5,852.1,887.1,7
alt105,318.8,212.5,0,155.7,14.3,852.1,880.4,7
alt106,401.8,94.7,0,147.4,11.4,946.8,852.1,7
alt107,362.6,189,0,164.9,11.6,944.7,755.8,7
alt108,323.7,282.8,0,183.8,10.3,942.7,659.9,7
alt109,379.5,151.2,0,153.9,15.9,1134.3,605,7
alt110,362.6,189,0,164.9,11.6,944.7,755.8,7
alt111,286.3,200.9,0,144.7,11.2,1004.6,803.7,7
alt112,362.6,189,0,164.9,11.6,944.7,755.8,7
alt113,439,177,0,186,11.1,884.9,707.9,7
alt114,389.9,189,0,145.9,22,944.7,755.8,7
alt115,362.6,189,0,164.9,11.6,944.7,755.8,7
alt116,337.9,189,0,174.9,9.5,944.7,755.8,7
alt117,374,189.2,0,170.1,10.1,926.1,756.7,28
alt118,313.3,262.2,0,175.5,8.6,1046.9,611.8,28
alt119,425,106.3,0,153.5,16.5,852.1,887.1,28
alt120,425,106.3,0,151.4,18.6,936,803.7,28
alt121,375,93.8,0,126.6,23.4,852.1,992.6,28
alt122,475,118.8,0,181.1,8.9,852.1,781.5,28
alt123,469,117.2,0,137.8,32.2,852.1,840.5,28
alt124,425,106.3,0,153.5,16.5,852.1,887.1,28
alt125,388.6,97.1,0,157.9,12.1,852.1,925.7,28
alt126,531.3,0,0,141.8,28.2,852.1,893.7,28
alt127,425,106.3,0,153.5,16.5,852.1,887.1,28
alt128,318.8,212.5,0,155.7,14.3,852.1,880.4,28
alt129,401.8,94.7,0,147.4,11.4,946.8,852.1,28
alt130,362.6,189,0,164.9,11.6,944.7,755.8,28
alt131,323.7,282.8,0,183.8,10.3,942.7,659.9,28
alt132,379.5,151.2,0,153.9,15.9,1134.3,605,28
alt133,362.6,189,0,164.9,11.6,944.7,755.8,28
alt134,286.3,200.9,0,144.7,11.2,1004.6,803.7,28
alt135,362.6,189,0,164.9,11.6,944.7,755.8,28
alt136,439,177,0,186,11.1,884.9,707.9,28
alt137,389.9,189,0,145.9,22,944.7,755.8,28
alt138,362.6,189,0,164.9,11.6,944.7,755.8,28
alt139,337.9,189,0,174.9,9.5,944.7,755.8,28
alt140,374,189.2,0,170.1,10.1,926.1,756.7,56
alt141,313.3,262.2,0,175.5,8.6,1046.9,611.8,56
alt142,425,106.3,0,153.5,16.5,852.1,887.1,56
alt143,425,106.3,0,151.4,18.6,936,803.7,56
alt144,375,93.8,0,126.6,23.4,852.1,992.6,56
alt145,475,118.8,0,181.1,8.9,852.1,781.5,56
alt146,469,117.2,0,137.8,32.2,852.1,840.5,56
alt147,425,106.3,0,153.5,16.5,852.1,887.1,56
alt148,388.6,97.1,0,157.9,12.1,852.1,925.7,56
alt149,531.3,0,0,141.8,28.2,852.1,893.7,56
alt150,425,106.3,0,153.5,16.5,852.1,887.1,56
alt151,318.8,212.5,0,155.7,14.3,852.1,880.4,56
alt152,401.8,94.7,0,147.4,11.4,946.8,852.1,56
alt153,362.6,189,0,164.9,11.6,944.7,755.8,56
alt154,323.7,282.8,0,183.8,10.3,942.7,659.9,56
alt155,379.5,151.2,0,153.9,15.9,1134.3,605,56
alt156,362.6,189,0,164.9,11.6,944.7,755.8,56
alt157,286.3,200.9,0,144.7,11.2,1004.6,803.7,56
alt158,362.6,189,0,164.9,11.6,944.7,755.8,56
alt159,439,177,0,186,11.1,884.9,707.9,56
alt160,389.9,189,0,145.9,22,944.7,755.8,56
